angDist,id,RA_ICRS,DE_ICRS,rest,b_rest,B_rest,rlen,ResFlag,ModFlag,angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,KIC,Per,BJD0,Morph,SC,LC,T3,Simbad,_RA,_DE
0.216871,2086579087597378816,296.74884267299,47.54381651030,241.463450114745000,239.700428844143000,243.252128913265000,1295.931350137450,1,1,0.067961,296.7487541425469,47.5438089083048,0.001,0.001,90,2086579087597378816,296.74884267299,0.0271,47.5438165103,0.0292,4.1128,0.0302,13.88,0.056,1.766,0.051,1,4622020.0,1058.45,9.026286,2997910.0,4169.9,9.159342,2358040.0,4280.94,8.830542,0.3288,,,0,7484.25,,,1.95,10.774,296.74878,47.5438161,10417986,0.0737309,55000.027476,0.99,true,LC,0,Simbad,296.74878,47.54382
0.121829,2082167091036642304,300.11563528416,45.16794180147,680.022848566897000,667.388071957203000,693.136333663449000,1760.517068008750,1,1,0.08352,300.1155954003236,45.1679229722155,0.001,0.001,90,2082167091036642304,300.11563528416,0.0238,45.16794180147,0.0265,1.4424,0.0276,6.531,0.051,4.373,0.049,0,391380.0,117.122,11.70687,221531.0,229.107,11.987801,246546.0,211.66,11.282174,0.705627,-24.13,5.12,7,6194.0,,,2.35,7.306,300.1156,45.1679,8912468,0.094838,54953.576945,0.98,false,LC,1,Simbad,300.1156,45.1679
0.040901,2126448581812562176,293.85189735580,44.94941551583,1626.803912410020000,1588.113750248500000,1667.389586211820000,1197.541772597260,1,1,0.038001,293.8518835494348,44.949421312612,0.0,0.0,0,2126448581812562176,293.8518973558,0.0129,44.94941551583,0.0151,0.5859,0.0149,2.269,0.027,-1.346,0.029,0,94826.5,44.6168,13.246041,57289.5,108.716,13.456201,55918.8,83.6268,12.893024,0.563176,,,0,7103.0,0.8117,0.396,2.16,10.745,293.85187,44.9494169,8758716,0.1072049,54953.672989,1.0,false,LC,1,Simbad,293.85187,44.94942
3.415289,2126448551752038528,293.85056535107,44.94959353533,2642.997150964640000,1368.492165858210000,4827.792061052600000,1197.384598824210,1,1,0.038001,293.8518835494348,44.949421312612,0.0,0.0,0,2126448581812562176,293.8518973558,0.0129,44.94941551583,0.0151,0.5859,0.0149,2.269,0.027,-1.346,0.029,0,94826.5,44.6168,13.246041,57289.5,108.716,13.456201,55918.8,83.6268,12.893024,0.563176,,,0,7103.0,0.8117,0.396,2.16,10.745,293.85187,44.9494169,8758716,0.1072049,54953.672989,1.0,false,LC,1,Simbad,293.85187,44.94942
0.128820,2126448551752038528,293.85056535107,44.94959353533,2642.997150964640000,1368.492165858210000,4827.792061052600000,1197.384598824210,1,1,3.287663,293.8506092078478,44.9496113414103,0.027,0.018,0,2126448551752038528,293.85056535107,0.5452,44.94959353533,0.7451,0.065,0.7204,-7.209,1.158,-4.136,1.71,0,354.004,3.01423,19.315844,957.97,124.306,17.898008,636.777,49.7294,17.751951,0.146057,,,0,,,,,,293.85187,44.9494169,8758716,0.1072049,54953.672989,1.0,false,LC,1,Simbad,293.85187,44.94942
3.356838,2126448581812562176,293.85189735580,44.94941551583,1626.803912410020000,1588.113750248500000,1667.389586211820000,1197.541772597260,1,1,3.287663,293.8506092078478,44.9496113414103,0.027,0.018,0,2126448551752038528,293.85056535107,0.5452,44.94959353533,0.7451,0.065,0.7204,-7.209,1.158,-4.136,1.71,0,354.004,3.01423,19.315844,957.97,124.306,17.898008,636.777,49.7294,17.751951,0.146057,,,0,,,,,,293.85187,44.9494169,8758716,0.1072049,54953.672989,1.0,false,LC,1,Simbad,293.85187,44.94942
0.049251,2132455561730848384,289.21189038048,48.20312960013,1760.005365399420000,1718.857639815750000,1803.132286550560000,832.101498251746,1,1,0.05786,289.2118738735515,48.2031377321981,0.0,0.0,0,2132455561730848384,289.21189038048,0.0113,48.20312960013,0.0143,0.5391,0.0135,2.555,0.024,-1.889,0.028,0,55984.2,35.9477,13.818201,35292.7,57.1662,13.982176,31433.4,55.8,13.518443,0.463733,,,0,7930.0,0.9282,0.4933,1.48,7.844,289.21185,48.20314,10855535,0.1127824,54964.629315,0.99,false,LC,1,Simbad,289.21185,48.20314
0.107958,2080063931448749824,294.63591731813,46.06640757523,396.331691430091000,390.044276137254000,402.821380811576000,1194.625016050500,1,1,0.065837,294.6358850718383,46.0664275435369,0.001,0.001,0,2080063931448749824,294.63591731813,0.0347,46.06640757523,0.0401,2.4952,0.0404,5.196,0.077,-4.638,0.077,1,263217.0,893.86,12.137579,231997.0,2435.34,11.937682,92931.3,1377.21,12.341516,-0.403833,,,0,8868.67,,,,,294.63586,46.0664219,9472174,0.1257653,54953.643178,0.78,true,LC,1,Simbad,294.63586,46.06642
0.136733,2085378253407302272,299.98212627153,46.26228490588,1292.503700223410000,1250.668677499590000,1337.179243892970000,1696.145293815530,1,1,0.144501,299.982134649475,46.2623224429962,0.001,0.001,90,2085378253407302272,299.98212627153,0.0232,46.26228490588,0.0225,0.7457,0.0257,-1.345,0.049,-8.718,0.045,0,489123.0,148.462,11.464821,301282.0,398.924,11.653955,276962.0,334.134,11.15587,0.498086,,,0,7202.0,,,3.76,34.304,299.98209,46.2623481,9612468,0.1334715,54953.603803,1.0,false,LC,1,Simbad,299.98209,46.26235
0.101077,2077716439761967360,293.97652878930,42.04826539741,1093.280847389950000,1063.067351696470000,1125.228760390440000,1487.067637973110,1,1,0.102999,293.9765383746416,42.0482925572118,0.001,0.001,0,2077716439761967360,293.9765287893,0.0197,42.04826539741,0.0245,0.8866,0.0258,-1.653,0.043,-6.308,0.046,0,196631.0,66.4441,12.454236,120831.0,181.292,12.645943,112635.0,99.2425,12.132741,0.513202,,,0,7232.0,1.064,0.529,1.99,9.766,293.9765,42.04829,6613627,0.1507996,55115.344848,0.98,false,LC,0,Simbad,293.9765,42.04829
0.082798,2073775794399263360,298.29896053297,40.47032194117,3250.549105293280000,3006.522003525430000,3536.556016651310000,2213.261949447570,1,1,0.062213,298.2989689997781,40.470344020221,0.001,0.001,0,2073775794399263360,298.29896053297,0.0187,40.47032194117,0.0234,0.2797,0.0244,-1.496,0.041,-5.128,0.041,0,18415.2,6.42784,15.025423,10313.2,23.5607,15.317908,11968.9,19.0072,14.566786,0.751123,,,0,6267.0,,,2.56,9.131,298.29898,40.4703289,5302006,0.1511712,54980.50904,0.97,false,LC,0,Simbad,298.29898,40.47033
2.003973,2073775794384972928,298.29964285125,40.47012703660,3120.416858385370000,1318.816533454670000,7114.101470399130000,2213.270782662670,1,1,0.062213,298.2989689997781,40.470344020221,0.001,0.001,0,2073775794399263360,298.29896053297,0.0187,40.47032194117,0.0234,0.2797,0.0244,-1.496,0.041,-5.128,0.041,0,18415.2,6.42784,15.025423,10313.2,23.5607,15.317908,11968.9,19.0072,14.566786,0.751123,,,0,6267.0,,,2.56,9.131,298.29898,40.4703289,5302006,0.1511712,54980.50904,0.97,false,LC,0,Simbad,298.29898,40.47033
0.075342,2073775794384972928,298.29964285125,40.47012703660,3120.416858385370000,1318.816533454670000,7114.101470399130000,2213.270782662670,1,1,1.943967,298.2996485731322,40.4701475072784,0.014,0.012,0,2073775794384972928,298.29964285125,0.3088,40.4701270366,0.4308,0.6573,0.4457,-1.011,0.755,-4.754,0.889,0,240.884,1.22435,19.733847,,,,,,,,,,0,,,,,,298.29898,40.4703289,5302006,0.1511712,54980.50904,0.97,false,LC,0,Simbad,298.29898,40.47033
