angDist,_RAJ2000,_DEJ2000,GCVS,Class1,u_Class1,LCType,u_LCType,magMax,A1,A2,Fltr,Per,f_Per,SpType,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.957506,47.80875,36.9905556,V0457 Per,,,EA,,14.4,0.9,,b,1.1703,,,Simbad,47.80875,36.99056,47.8084467559279,36.9904457111027,0.001,0.001,90,139187181256946944,47.80846989562,0.0463,36.99043169007,0.0330,0.4253,0.0515,4.293,0.081,-3.256,0.068,0,3.53365e+04,1.74081e+02,14.317808,2.12050e+04,2.84867e+02,14.535295,2.12025e+04,2.93642e+02,13.945951,0.589344,,,0,7068.00,,,1.84,7.593
0.092555,57.38625,33.0913889,V0467 Per,DM,,,,5.05,0.13,,V,22.58,,A2V,Simbad,57.38625,33.09139,57.3862286944395,33.0913703967827,0.005,0.004,90,217180007782973184,57.38608231591,0.1190,33.09139734874,0.0780,10.8041,0.1504,-28.483,0.331,6.260,0.248,0,1.72281e+08,2.80602e+05,5.097775,1.19362e+08,2.53236e+05,5.159224,7.57289e+07,1.64951e+05,5.063767,0.095457,,,0,8886.50,0.4210,0.1955,,
0.628517,29.7070833,52.8969444,V0471 Per,,,EA,:,13.03,0.24,,V,0.1667,,G2Ib,Simbad,29.70708,52.89694,29.7069343285078,52.8967947174563,0.001,0.001,90,360112911622101120,29.70693941632,0.0289,52.89678539131,0.0300,0.3858,0.0355,0.713,0.076,-2.166,0.073,0,1.75565e+05,1.94080e+02,12.577273,7.96251e+04,3.27310e+02,13.098763,1.50289e+05,5.76278e+02,11.819600,1.279163,-22.91,19.56,3,4953.50,,,9.79,51.975
0.895900,39.8375,43.6166667,V0476 Per,,,EW,,14.6,0.6,,b,,,,Simbad,39.8375,43.61667,39.8378335758880,43.6167267828972,0.001,0.001,90,340273388230820224,39.83783079859,0.0406,43.61671479045,0.0281,0.2692,0.0476,-0.467,0.059,-2.785,0.059,0,4.16993e+04,5.31258e+02,14.138043,2.41013e+04,9.46063e+02,14.396288,2.69738e+04,1.03160e+03,13.684564,0.711724,,,0,6261.35,,,,
1.884445,41.3333333,39.7616667,V0478 Per,,,EW,,16.6,0.8,,b,,,,Simbad,41.33333,39.76167,41.3338360546886,39.7613136494288,0.002,0.002,90,335818167116124160,41.33385500949,0.0920,39.76129925950,0.0629,0.1558,0.1086,3.384,0.142,-3.342,0.126,0,5.72836e+03,1.10269e+02,16.293290,3.10481e+03,1.99071e+02,16.621300,3.93893e+03,3.27299e+02,15.773476,0.847824,,,0,5595.91,,,,
0.252607,63.2866667,49.7097222,V0481 Per,,,EB,:,12.0,1.2,,b,,,,Simbad,63.28667,49.70972,63.2867011908189,49.7097887293791,0.003,0.002,90,247322912904363776,63.28669925886,0.0870,49.70976076499,0.0685,0.9798,0.1127,-0.290,0.193,-6.495,0.153,0,9.12245e+06,5.54720e+04,8.288087,7.80960e+05,2.62937e+04,10.619816,1.38530e+07,1.92764e+05,6.908058,3.711758,,,0,3356.50,,,93.59,1001.716
0.313655,63.9220833,47.4222222,V0482 Per,,,EA,,10.6,0.3,,b,,,,Simbad,63.92208,47.42222,63.9222068371058,47.4221976095145,0.002,0.001,90,234153100062678400,63.92221507361,0.0661,47.42217156677,0.0311,1.2310,0.0779,1.294,0.131,-6.049,0.076,0,1.63200e+06,1.07389e+03,10.156563,9.47885e+05,1.17221e+03,10.409499,9.85617e+05,1.59815e+03,9.777649,0.631850,,,0,6388.13,1.5285,0.7800,5.27,41.697
0.591348,61.6625,32.385,V0490 Per,,,,,6.98,0.29,,V,,,,Simbad,61.6625,32.385,61.6626814957045,32.3850590898575,0.002,0.001,90,169431963001150848,61.66269899423,0.0536,32.38503852595,0.0273,2.1197,0.0636,3.432,0.118,-4.776,0.072,1,2.97964e+07,1.74284e+04,7.002955,2.08494e+07,3.59459e+04,7.053655,1.34842e+07,4.36296e+04,6.937357,0.116297,,,0,9100.00,0.4605,0.2573,,
0.426424,35.3041667,54.51,V0505 Per,,,EA,,6.87,0.59,,V,,,,Simbad,35.30417,54.51,35.3040130773873,54.5100779508210,0.001,0.001,0,455772347387763840,35.30432884878,0.0200,54.51006200332,0.0277,15.9704,0.0388,42.579,0.066,-3.704,0.070,1,3.79074e+07,7.78690e+03,6.741557,2.22703e+07,1.29744e+04,6.982072,2.21269e+07,1.77942e+04,6.399618,0.582454,,,0,6487.14,,,1.90,5.750
0.521980,51.60625,40.4586111,V0511 Per,,,EA,,8.1,0.5,,V,,,,Simbad,51.60625,40.45861,51.6063284333266,40.4584789564717,0.002,0.002,90,236084529673464704,51.60630055802,0.0611,40.45845759239,0.0434,1.3354,0.0710,-4.926,0.148,-4.962,0.115,1,1.22980e+07,2.19896e+04,7.963776,7.71722e+06,4.59729e+04,8.132736,6.77901e+06,3.69566e+04,7.684004,0.448732,-13.64,0.60,14,7326.62,1.2600,0.6415,10.20,270.092
