angDist,_RAJ2000,_DEJ2000,GCVS,Per,SpType,M1,e_M1,M2,e_M2,R1,e_R1,R2,e_R2,T1,e_T1,T2,e_T2,logL1,e_logL1,logL2,e_logL2,a,e_a,BibCode,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000435,181.5320342,-61.2568967,AI Cru,1.4177112,B2IVe,10.3,0.2,6.3,0.1,4.95,0.06,4.43,0.05,24200,500,17700,500,3.88,0.04,3.24,0.05,13.55,0.18,1987MNRAS.226..879B,Simbad,181.53203,-61.2569,181.5320340594146,-61.2568968002985,0.001,0.001,0,6058510765049380096,181.53197747533,0.0250,-61.25689627991,0.0262,0.4736,0.0333,-6.320,0.048,0.121,0.050,1,2.61275e+06,2.63028e+04,9.645621,1.91337e+06,4.88786e+04,9.646893,1.17717e+06,4.16231e+04,9.584825,0.062068,,,0,9579.50,,,,
0.000198,301.7413794,46.2994853,SW Cyg,4.5731,A2Ve+[KI],1.24,,0.45,,2.31,,3.96,,8770,,4330,,1.45,,0.69,,13.8,,2004yCat.5115....0S,Simbad,301.74138,46.29949,301.7413793616917,46.2994853481177,0.001,0.001,0,2082658577035787392,301.74134989758,0.0239,46.29945361649,0.0287,2.1161,0.0314,-4.728,0.049,-7.370,0.054,0,3.72592e+06,9.60050e+03,9.260283,2.40800e+06,1.34288e+04,9.397248,1.97875e+06,1.74646e+04,9.020941,0.376308,,,0,7790.25,0.7260,0.3850,3.18,33.460
1.969597,301.7413794,46.2994853,SW Cyg,4.5731,A2Ve+[KI],1.24,,0.45,,2.31,,3.96,,8770,,4330,,1.45,,0.69,,13.8,,2004yCat.5115....0S,Simbad,301.74138,46.29949,301.7419730497682,46.2998473923468,0.002,0.002,0,2082658577036041856,301.74197304977,1.6718,46.29984739235,2.2612,,,,,,,0,1.63271e+04,9.26592e+02,15.156092,,,,,,,,,,0,,,,,
0.000446,301.0112967,41.5879064,WW Cyg,3.317747,B7V+[G0IV],4.85,,1.65,,3.75,,4.7,,13000,,5820,,2.56,,1.36,,17.45,,2004yCat.5115....0S,Simbad,301.0113,41.58791,301.0112966027925,41.5879062995250,0.001,0.001,0,2074464462324115456,301.01129050782,0.0270,41.58788386210,0.0291,0.8013,0.0326,-1.059,0.055,-5.211,0.056,0,1.90625e+06,3.73204e+03,9.987918,1.31285e+06,5.68386e+03,10.055850,9.18492e+05,4.75178e+03,9.854232,0.201618,,,0,8772.50,,,,
0.000208,303.1879508,47.3948253,KU Cyg,38.439484,A7V+M2III,3.85,,0.48,,3.38,,17.1,,7750,,3650,,1.57,,1.67,,78.09,,2004yCat.5115....0S,Simbad,303.18795,47.39483,303.1879507224093,47.3948252759012,0.001,0.001,90,2084134705758394112,303.18795119525,0.0268,47.39482100220,0.0323,0.7949,0.0358,0.074,0.055,-0.993,0.055,0,8.42158e+05,1.41836e+04,10.874882,4.29011e+05,9.90698e+03,11.270218,7.17479e+05,2.22719e+04,10.122396,1.147821,,,0,4962.20,,,10.36,58.607
0.000430,301.5414525,35.3860042,V448 Cyg,6.5197162,O9.5V+B1Ib,24.7,0.7,13.7,0.7,7.8,0.2,16.3,0.3,30490,,20340,150,4.63,0.03,4.57,0.03,49.5,0.6,2009MNRAS.396.1553D,Simbad,301.54145,35.386,301.5414524812060,35.3860040816373,0.001,0.001,90,2059011376158159488,301.54143433528,0.0249,35.38597641315,0.0299,0.4950,0.0339,-3.436,0.054,-6.426,0.053,0,1.27525e+07,9.37665e+04,7.924379,7.18774e+06,1.67258e+05,8.209908,7.60628e+06,1.97803e+05,7.558990,0.650918,,,0,6296.00,1.4420,0.7280,37.75,2017.590
0.000518,299.2429419,54.7995225,V548 Cyg,1.80524695,AV+[K],2.18,0.14,0.769,0.054,3.012,0.069,2.619,0.048,9400,,4856,19,1.803,0.042,0.534,0.08,8.95,0.18,2016AJ....152...49Y,Simbad,299.24294,54.79952,299.2429420461689,54.7995223833761,0.002,0.001,0,2137780359106512640,299.24295719977,0.0403,54.79955130384,0.0519,1.6127,0.0450,2.029,0.090,6.717,0.107,0,7.39249e+06,1.17852e+04,8.516389,5.01938e+06,3.05807e+04,8.599764,3.46401e+06,2.92265e+04,8.412973,0.186790,,,0,8393.33,0.6765,0.3280,,
0.000158,309.4170242,18.2843758,W Del,4.8061,B9.5Ve+G5IV,2.01,,0.42,,2.08,,3.88,,9880,,4750,,1.57,,0.84,,16.11,,2004yCat.5115....0S,Simbad,309.41702,18.28438,309.4170241612642,18.2843757761388,0.001,0.001,0,1812558769663138176,309.41700809996,0.0350,18.28439477945,0.0420,1.2286,0.0435,-3.542,0.069,4.414,0.069,1,2.42418e+06,3.80126e+03,9.726952,1.67126e+06,5.74894e+03,9.793781,1.13609e+06,1.31409e+04,9.623388,0.170393,,,0,8574.33,0.6783,0.3465,,
0.000509,311.3812353,11.1740203,AV Del,3.8534528,F8,1.453,0.028,0.705,0.014,2.632,0.03,4.233,0.06,6000,200,4275,150,0.906,0.059,0.732,0.062,13.36,0.09,2005AJ....130..234M,Simbad,311.38124,11.17402,311.3812352143228,11.1740204135946,0.001,0.001,90,1751749213935107456,311.38126608826,0.0254,11.17404356517,0.0248,1.2654,0.0331,7.035,0.051,5.377,0.040,0,4.95224e+05,2.30466e+03,11.451361,2.47399e+05,2.90739e+03,11.867891,3.61143e+05,4.62682e+03,10.867722,1.000170,,,0,5344.00,,,4.16,12.718
0.000378,176.3717086,72.2495367,Z Dra,1.3574226,A5V+gK2,1.39,0.05,0.42,0.02,1.48,0.02,1.77,0.02,6446,11,3936,14,0.53,0.01,-0.17,0.01,6.29,0.08,2017IBVS.6223....1T,Simbad,176.37171,72.24954,176.3717085179149,72.2495368020091,0.001,0.001,90,1074900468737991552,176.37166328723,0.0310,72.24946566051,0.0270,3.1173,0.0345,-3.203,0.063,-16.523,0.055,0,1.32364e+06,1.71565e+03,10.383945,7.42437e+05,3.17816e+03,10.674740,8.29675e+05,2.67853e+03,9.964650,0.710090,,,0,5992.00,,,2.14,5.322
